id	본문	is_rule
101	금융회사등이 하는 영업 또는 업무 등을 제한 없이 허용하고 법령등을 위반하거나 건전한 거래질서를 저해하는 등의 행위가 있으면 그 행위를 제재하거나 시정명령을 하는 등의 금융규제 방식이 가능하고 적절한지 여부	0
102	2	0
103	금융회사등이 하는 영업 또는 업무 등을 제한하는 경우에도 법령등에 그 제한하는 내용을 구체적으로 열거하고 법령등에 열거되지 아니한 경우에는 모두 허용하는 등의 금융규제 방식이 가능하고 적절한지 여부	0
104	3	0
105	서로 다른 금융회사등이 하는 영업 또는 업무 등이 경제적·실질적 측면에서 동일한 기능을 하면 그 금융회사등 간에 동일한 규제수준의 금융규제가 적용되도록 설정되었는지 여부	0
106	4	0
107	"금융회사등의 자산·자기자본 등의 규모, 위험관리체계 등을 고려하여 규제수준을 차등화할 수 있는지 여부"	0
108	5	0
109	해당 금융규제에 관한 국제적 기준 또는 외국의 비슷한 법제도와 비교하여 그 규제수준 등이 합리적으로 설정되었는지 여부	0
110	"제5조(의견청취) ① 금융위원회는 명시적 금융규제를 신설하거나 강화하려면 공청회, 행정상 입법예고 등의 방법으로 이해관계인·민간단체·전문가 등의 의견을 청취하여야 한다"	0
111	② 제1항에 따라 의견을 청취하는 경우에는 「행정규제기본법」 제7조제1항에 따른 규제영향분석서를 인터넷 홈페이지 등에 공개하여야 한다	0
112	"제6조(자체규제심사위원회) ① 명시적 금융규제를 신설·강화할 때 「행정규제기본법」 제7조제3항에 따른 자체심사를 하기 위하여 금융위원회에 자체규제심사위원회(이하 이 조 및 제17조에서 ""자체규제심사위원회""라 한다)를 둔다"	0
113	② 자체규제심사위원회는 당연직 위원과 위촉직 위원으로 구성된다	0
114	이 경우 금융위원회는 전체 위원의 과반수를 위촉직 위원으로 임명하여야 한다	0
115	③ 자체규제심사위원회는 명시적 금융규제의 신설·강화의 필요성을 판단하기 위하여 다음 각 호의 사항을 검토하여야 한다	0
116	1	0
117	「행정규제기본법」 제4조·제5조 및 제6조와 이 훈령 제4조제1항을 지켰는지 여부	0
118	2	0
119	제4조제2항 각 호의 사항에 대한 검토 결과	0
120	3	0
121	「행정규제기본법」 제7조제1항에 따른 규제영향분석 결과	0
122	④ 금융위원회 규제개혁법무담당관은 제3항에 따른 검토 결과를 포함한 자체규제심사위원회 논의 결과를 자체규제심사 의견서에 구체적으로 기재하여 지체 없이 금융규제민원포털(금융위원회와 금융감독원이 금융규제에 관한 정보를 제공하기 위하여 공동으로 구축하여 운영하는 정보처리시스템을 말한다	0
123	이하 같다)을 통하여 공개하여야 한다	0
124	"다만, 개인정보 보호 등을 위하여 필요한 경우로서 금융위원회가 정하여 고시하는 경우에는 그 내용의 전부 또는 일부를 공개하지 아니할 수 있다"	0
125	⑤ 제1항부터 제4항까지에 규정된 사항 외에 자체규제심사위원회의 운영에 필요한 사항은 금융위원회가 정하여 고시한다	0
126	제3장 금융행정지도의 원칙ㆍ방식 및 절차 등	0
127	제7조(금융행정지도의 원칙) ① 금융위원회 및 금융감독원은 금융행정지도를 할 때 그 목적 달성에 필요한 최소한의 범위에서 합리성·투명성·책임성을 확보할 수 있도록 하여야 한다	0
128	② 금융위원회 및 금융감독원이 하는 금융행정지도의 내용은 명확하여야 한다	0
129	"③ 금융위원회 및 금융감독원은 금융회사등의 내규·업무방법서, 그 밖에 이와 비슷한 것 또는 제2조제2호파목에 따른 법인 또는 단체의 정관, 규칙 또는 규약 등에 금융행정지도의 내용을 반영할 것을 요구하여서는 아니된다"	0
130	④ 금융위원회 및 금융감독원은 금융회사등이 금융행정지도에 따르지 아니하였다는 것만을 이유로 하여 불이익한 조치를 하여서는 아니된다	0
131	⑤ 금융위원회 및 금융감독원은 법령등에서 정하는 경우 외에는 금융행정지도의 방법으로 금융회사등의 인사에 개입하여서는 아니된다	0
132	"⑥ 금융위원회 및 금융감독원은 금리·수수료 등 금융회사등이 정하는 금융상품의 가격, 금융회사등의 배당 등에 대한 금융행정지도를 하여서는 아니된다"	0
133	"다만, 다음 각 호의 경우에는 그러하지 아니하다"	0
134	1	0
135	"법령등에 따라 금융상품의 가격, 금융회사등의 배당 등에 관한 행정작용을 하는 경우"	0
136	2	0
137	해당 금융행정지도를 하지 아니하면 금융회사등의 건전성을 현저히 저해하거나 저해할 우려가 있는 경우	0
138	3	0
139	금융소비자 보호를 위하여 금융행정지도를 하는 것이 불가피한 경우	0
140	4	0
141	제2호 및 제3호와 비슷한 경우로서 금융위원회가 인정하는 경우	0
142	⑦ 제6항 단서에 따라 금융행정지도를 하는 경우에는 미리 금융위원회의 의결을 거쳐야 한다	0
143	"다만, 같은 항 제1호의 경우는 그러하지 아니하다"	0
144	제8조(금융행정지도의 방식) ① 금융위원회 및 금융감독원은 새로 금융행정지도를 하려는 경우 금융행정지도의 상대방인 금융회사등에 다음 각 호의 사항을 밝혀야 한다	0
145	기존의 금융행정지도의 내용을 변경하거나 그 유효기간의 연장을 하려는 경우에도 또한 같다	0
146	1	0
147	금융행정지도인지 감독행정작용인지 여부 및 제12조제1항에 따른 관리번호	0
148	2	0
149	해당 금융행정지도의 내용 및 목적	0
150	3	0
151	제13조에 따른 금융행정지도의 유효기간	0
152	4	0
153	해당 금융행정지도를 담당하는 소속 공무원 또는 직원의 성명 및 직위	0
154	5	0
155	해당 금융행정지도와 관련된 법령이 있는 경우 그 법령의 내용	0
156	6	0
157	제7조에 따른 금융행정지도의 원칙의 내용	0
158	7	0
159	제7조제6항제2호부터 제4호까지의 어느 하나에 해당하여 금융행정지도를 하는 경우 그 사유	0
160	② 금융위원회 및 금융감독원이 제1항에 따라 새로 금융행정지도를 하는 경우 또는 기존의 금융행정지도의 내용을 변경하거나 그 유효기간의 연장을 하는 경우에는 문서(「전자문서 및 전자거래 기본법」에 따른 전자문서를 포함한다	0
161	이하 이 조에서 같다)로 하여야 한다	0
162	이 경우 금융위원회 및 금융감독원의 문서는 「행정업무의 효율적 운영에 관한 규정」 제10조제1항 및 제2항(금융감독원의 경우 그 문서의 결재에 대하여 이와 비슷한 사항을 정한 업무규정을 말한다)에 따라 결재를 한 문서로 하여야 한다	0
163	③ 제2항에도 불구하고 금융위원회 및 금융감독원은 금융행정지도를 문서로 하면 그 목적을 달성할 수 없다고 인정되는 경우에는 구두(口頭)로 금융행정지도를 할 수 있다	0
164	이 경우 해당 금융행정지도를 한 후 지체 없이 제8조제1항 각 호의 사항을 적은 문서로 금융행정지도의 상대방인 금융회사등에 그 금융행정지도의 내용을 통지하여야 한다	0
165	④ 제1항부터 제3항까지의 규정에 위반한 금융행정지도는 효력이 없다	0
166	⑤ 제1항부터 제3항까지의 규정에 따른 금융행정지도 업무의 내부위임 등에 관한 구체적 사항은 금융위원회 및 금융감독원이 각각 정한다	0
167	제9조(의견청취) 금융위원회 및 금융감독원은 새로 금융행정지도를 하려는 경우 또는 기존의 금융행정지도의 내용을 변경하거나 그 유효기간의 연장을 하려는 경우 그 내용을 20일 이상 금융규제민원포털을 통하여 공고하고 의견청취를 하여야 한다	1
168	"다만, 다음 각 호의 어느 하나에 해당하는 경우 담당 부서는 금융위원회 규제개혁법무담당관(금융감독원의 경우 이와 비슷한 기능을 하는 부서를 말한다)과 협의하여 공고 및 의견청취를 생략하거나 그 기간을 단축할 수 있다"	0
169	1	0
170	금융행정지도의 목적을 달성하기 위하여 긴급하다고 인정되는 경우	0
171	2	0
172	금융행정지도에 따라 금융회사등에 미치는 효과가 경미한 경우	0
173	"제9조의2(금융위원회의 사전심의 등) ① 금융위원회는 새로 금융행정지도를 시행하려는 경우 또는 기존 금융행정지도의 내용을 변경하거나 유효기간을 연장하려는 경우에는 다음 각 호의 사항에 대하여 금융위원회에 두는 금융행정지도 심의위원회(이하 ""금융위원회 금융행정지도 심의위원회""라 한다)의 심의를 거쳐야 한다"	0
174	1	0
175	금융행정지도를 하려는 내용 및 그 사유(기존 금융행정지도의 내용을 변경하거나 그 유효기간을 연장하려는 경우에는 변경 또는 유효기간 연장의 사유를 포함한다)	0
176	2	0
177	제9조에 따라 금융회사등으로부터 의견을 청취한 경우 그 내용 및 해당 금융행정지도에 반영한 결과	0
178	3	0
179	제9조 단서에 따라 공고 및 의견청취를 생략하거나 기간을 단축한 경우 그 사유	0
180	4	0
181	해당 금융행정지도와 관련된 법령등이 있는 경우 그 법령등의 내용	0
182	5	0
183	해당 금융행정지도의 내용이 법령등 또는 이미 공개된 금융정책 등의 내용에 상충되지 않는지 여부에 대한 검토 결과	0
184	6	0
185	제13조에 따른 금융행정지도의 유효기간	0
186	7	0
187	해당 금융행정지도의 내용을 명시적 금융규제로 전환할 것인지 여부에 대한 검토	0
188	② 금융위원회 금융행정지도 심의위원회는 위원장 1명을 포함한 9명 이내의 위원으로 구성한다	0
189	"③ 금융위원회 금융행정지도 심의위원회의 위원장은 금융위원회 사무처장이 되고, 위원은 다음 각 호의 사람이 된다"	0
190	1	0
191	금융위원회 사무처장이 임명하는 금융위원회 국장 4명	0
192	2	0
193	「금융위원회의 설치 등에 관한 법률」 제30조제3항에 따른 금융감독원 부원장보 중 해당 금융행정지도와 관련된 부서의 업무를 관장하는 부원장보 1명	0
194	3	0
195	금융 분야 전문지식과 경력을 갖춘 사람 중에서 금융위원회 위원장이 위촉하는 사람 3명	0
196	④ 제1항에도 불구하고 금융위원회는 다음 각 호의 어느 하나에 해당하는 경우에는 새로 금융행정지도를 한 이후 또는 기존 금융행정지도의 내용을 변경하거나 유효기간을 연장한 이후 해당 호의 구분에 따라 금융위원회 금융행정지도 심의위원회에 보고하여야 한다	0
197	1	0
198	금융행정지도의 목적을 달성하기 위하여 긴급하다고 인정되는 경우	0
199	새로 금융행정지도를 한 이후 또는 기존 금융행정지도의 내용을 변경하거나 유효기간을 연장한 이후 지체 없이 보고	0
200	2	0
201	금융행정지도에 따라 금융회사등에 미치는 효과가 경미한 경우	0
202	매 반기별로 일괄하여 보고	0
203	[본조신설 2019	0
204	1	0
205	30	0
206	]	0
207	제10조(사전보고) 금융감독원은 새로 금융행정지도를 하려는 경우 또는 기존의 금융행정지도의 내용을 변경하거나 그 유효기간의 연장을 하려는 경우 제9조의2제1항 각 호의 사항에 대하여 미리 금융위원회에 보고하여야 한다	0
208	이 경우 보고의 접수 업무의 내부위임 등에 대해서는 금융위원회가 정한다	0
209	<개정 2019	0
210	1	0
211	30	0
212	>	0
213	1	0
214	삭제  <2019	0
215	1	0
216	30	0
217	>	0
218	2	0
219	삭제  <2019	0
220	1	0
221	30	0
222	>	0
223	3	0
224	삭제  <2019	0
225	1	0
226	30	0
227	>	0
228	4	0
229	삭제  <2019	0
230	1	0
231	30	0
232	>	0
233	5	0
234	삭제  <2019	0
235	1	0
236	30	0
237	>	0
238	"제11조(금융감독원의 사전심의 등) ① 금융감독원은 새로 금융행정지도를 하기 전 또는 기존의 금융행정지도의 내용을 변경하거나 그 유효기간의 연장을 하기 전에 제9조의2제1항 각 호의 사항에 대하여 금융감독원에 두는 금융행정지도 심의위원회(이하 ""금융감독원 금융행정지도 심의위원회""라 한다)의 심의를 거쳐야 한다"	0
239	이 경우 제10조에 따라 보고를 받은 금융위원회가 해당 금융행정지도에 대하여 의견을 제시한 경우에는 그 의견을 심의안건에 첨부하여 심의하여야 한다	0
240	<개정 2019	0
241	1	0
242	30	0
243	>	0
244	1	0
245	삭제  <2019	0
246	1	0
247	30	0
248	>	0
249	2	0
250	삭제  <2019	0
251	1	0
252	30	0
253	>	0
254	3	0
255	삭제  <2019	0
256	1	0
257	30	0
258	>	0
259	4	0
260	삭제  <2019	0
261	1	0
262	30	0
263	>	0
264	② 금융감독원 금융행정지도 심의위원회는 위원장 1명을 포함한 9명 이내의 위원으로 구성한다	0
265	<개정 2019	0
266	1	0
267	30	0
268	>	0
269	"③ 금융감독원 금융행정지도 심의위원회의 위원장은 「금융위원회의 설치 등에 관한 법률」 제30조제3항에 따른 금융감독원 부원장 중 최상위 직급의 부원장이 되고, 위원은 다음 각 호의 사람이 된다"	0
270	<개정 2019	0
271	1	0
272	30	0
273	>	0
274	1	0
275	「금융위원회의 설치 등에 관한 법률」 제30조제3항에 따른 금융감독원 부원장 중 최상위 직급의 부원장이 임명하는 금융감독원 부원장보 4명	0
276	2	0
277	금융위원회 기획조정관 또는 해당 금융행정지도와 관련된 금융위원회 소관 부서의 국장 중에서 금융위원회 사무처장이 지명하는 사람 1명	0
278	3	0
279	"금융 분야 전문지식과 경력을 갖춘 사람 중에서 금융감독원 원장(이하 ""금융감독원장""이라 한다)이 위촉하는 사람 3명"	0
280	④ 제1항에도 불구하고 금융감독원은 다음 각 호의 어느 하나에 해당하는 경우에는 새로 금융행정지도를 한 이후 또는 기존 금융행정지도의 내용을 변경하거나 유효기간을 연장한 이후 해당 호의 구분에 따라 금융감독원 금융행정지도 심의위원회에 보고하여야 한다	0
281	<신설 2019	0
282	1	0
283	30	0
284	>	0
285	1	0
286	금융행정지도의 목적을 달성하기 위하여 긴급하다고 인정되는 경우	0
287	새로 금융행정지도를 한 이후 또는 기존 금융행정지도의 내용을 변경하거나 유효기간을 연장한 이후 지체 없이 보고	0
288	2	0
289	금융행정지도에 따라 금융회사등에 미치는 효과가 경미한 경우	0
290	매 반기별로 일괄하여 보고	0
291	[제목개정 2019	0
292	1	0
293	30	0
294	]	0
295	제12조(등록 및 공개) ① 금융위원회 및 금융감독원은 제8조제1항에 따라 금융행정지도를 하거나 같은 조 제3항 후단에 따라 통지하는 경우에는 그 금융행정지도 또는 통지를 하기 전에 미리 그 금융행정지도에 관한 관리번호를 부여하여야 한다	0
296	이 경우 관리번호의 부여 업무는 금융위원회 규제개혁법무담당관(금융감독원의 경우 이와 비슷한 기능을 하는 부서를 말한다)이 담당한다	0
297	② 금융위원회 및 금융감독원은 제1항에 따라 관리번호를 부여한 금융행정지도를 금융규제민원포털을 통하여 등록하여야 한다	0
298	③ 제2항에 따라 등록된 금융행정지도의 내용은 공개되어야 한다	0
299	"다만, 개인정보 보호 등을 위하여 필요한 경우로서 금융위원회가 정하여 고시하는 경우에는 그 내용의 전부 또는 일부를 공개하지 아니할 수 있다"	0
300	제13조(금융행정지도의 유효기간) ① 금융위원회 및 금융감독원은 새로 금융행정지도를 하거나 기존의 금융행정지도의 내용을 변경하려는 경우 그 금융행정지도의 유효기간을 설정하여야 한다	0
301	"② 제1항에 따른 유효기간은 금융행정지도의 목적을 달성하기 위하여 필요한 최소한의 기간으로 설정하되, 다음 각 호의 구분에 따른 기간을 초과할 수 없다"	1
302	유효기간을 연장하는 경우에도 또한 같다	0
303	1	0
304	제8조제3항에 따른 금융행정지도	0
305	90일	0
306	2	0
307	제11조제3항에 따른 절차를 거쳐 한 금융행정지도	0
308	6개월	0
309	3	0
310	정부가 명시적 금융규제를 도입하는 정책을 발표하였으나 관련 법률이 제정·개정되지 아니하여 금융회사등의 경영건전성을 확보하고 금융소비자를 보호하기 위하여 그 법률이 시행되기 전까지 한시적으로 하는 금융행정지도	0
311	2년	0
312	4	0
313	그 밖의 금융행정지도	0
314	1년	0
315	③ 금융행정지도 유효기간의 연장은 1회에 한정한다	1
316	"다만, 다음 각 호의 어느 하나에 해당하는 경우에는 금융행정지도 유효기간을 2회 이상 연장할 수 있다"	1
317	<개정 2019	0
318	1	0
319	30	0
320	>	0
321	1	0
322	명시적 금융규제로 전환하기 위하여 법령등의 제정·개정이 추진 중인 경우	0
323	2	0
324	금융소비자 보호 또는 금융회사등의 경영 건전성 확보를 위하여 금융행정지도의 연장이 필요한 경우로서 법령등의 공백을 해소하기 위하여 부득이한 경우	0
325	④ 금융위원회 또는 금융감독원이 제3항 단서에 따라 금융행정지도의 유효기간을 2회 이상 연장하려는 경우에는 금융위원회 금융행정지도 심의위원회 또는 금융감독원 금융행정지도 심의위원회의 재적위원 3분의 2 이상의 동의를 받아야 한다	1
326	이 경우 금융위원회 또는 금융감독원은 해당 금융행정지도 유효기간 연장의 필요성과 해당 금융행정지도의 효과에 관한 검토자료를 금융위원회 금융행정지도 심의위원회 또는 금융감독원 금융행정지도 심의위원회에 미리 제출하여야 한다	1
327	<신설 2019	0
328	1	0
329	30	0
330	>	0
331	⑤ 제3항의 적용을 받지 아니하기 위하여 명시적 금융규제로 전환하여야 할 금융행정지도의 유효기간을 연장하지 아니한 다음 새로 이와 같거나 비슷한 금융행정지도를 하더라도 그 새로운 금융행정지도는 효력이 없다	0
332	<개정 2019	0
333	1	0
334	30	0
335	>	0
336	제14조(사후관리 및 시정명령) ① 금융감독원은 매년 3월 31일까지 소관 금융행정지도에 관한 현황(제11조제1항에 따라 심의한 사항을 포함한다)을 금융위원회에 보고하여야 한다	0
337	제8조제5항에 따라 금융행정지도 업무의 내부위임을 받은 금융위원회 소속 공무원의 경우에도 또한 같다	0
338	<개정 2019	0
339	1	0
340	30	0
341	>	0
342	② 금융위원회 규제개혁법무담당관은 제1항에 따른 보고 사항에 대한 의견서를 작성하여야 한다	0
343	③ 금융위원회 규제개혁법무담당관은 제2항에 따른 의견서를 작성할 때 비명시적 금융규제를 명시적 금융규제로 전환할 필요가 있는지 여부를 함께 검토하여야 한다	0
344	"이 경우 금융위원회 규제개혁법무담당관은 소관부서의 검토의견을 들어야 하며, 소관부서는 14일 이내에 통보하여야 한다"	1
345	<신설 2019	0
346	1	0
347	30	0
348	>	0
349	④ 금융위원회는 제1항에 따라 금융감독원으로부터 보고를 받은 금융행정지도가 이 훈령에 위반되는지를 검토하고 필요한 경우 금융감독원장에게 시정을 명할 수 있다	0
350	<개정 2019	0
351	1	0
352	30	0
353	>	0
354	제4장 감독행정작용의 원칙ㆍ방식 및 절차 등	0
355	제15조 삭제  <2019	0
356	1	0
357	30	0
358	>	0
359	제16조(감독행정작용의 원칙ㆍ방식 및 절차 등) ① 금융감독원은 새로 감독행정작용을 하려는 경우 또는 기존의 감독행정작용을 변경하려는 경우에는 미리 그 내용을 금융위원회에 통보하여야 한다	0
360	이 경우 통보의 접수 업무의 내부위임 등에 대해서는 금융위원회가 정한다	0
361	<신설 2019	0
362	1	0
363	30	0
364	>	0
365	"② 금융위원회 및 금융감독원의 감독행정작용에 관하여는 제7조, 제8조(제1항제3호는 제외한다), 제12조를 준용한다"	0
366	<개정 2019	0
367	1	0
368	30	0
369	>	0
370	③ 금융감독원(감독행정작용 업무의 내부위임을 받은 금융위원회 소속 공무원을 포함한다)은 매년 3월 31일까지 전년도에 실시한 감독행정작용에 관한 현황을 금융위원회에 보고하여야 한다	0
371	이 경우 제14조제2항 및 제3항을 준용한다	0
372	<개정 2019	0
373	1	0
374	30	0
375	>	0
376	[제목개정 2019	0
377	1	0
378	30	0
379	]	0
380	제5장 금융규제의 상시개선체계 등의 마련	0
381	제17조(자체규제심사위원회의 점검 등) ① 금융위원회는 「행정규제기본법」 제19조제1항에 따라 선정한 정비 대상 금융규제를 금융규제민원포털 등을 통하여 공개하여야 한다	0
382	"② 자체규제심사위원회는 제1항에 따라 공개된 금융규제의 정비 여부 등의 상황을 매년 점검하고, 금융규제민원포털 등을 통하여 그 결과를 공개하여야 한다"	0
383	"제18조(옴부즈만) ① 금융위원회 및 금융감독원, 그 밖의 금융유관기관이 금융회사등에 하는 감독행정작용이나 금융행정지도, 그 밖의 금융규제에 대한 투명한 감시 및 평가를 통하여 불합리한 관행이나 업무처리 등을 발굴하고 개선 및 시정을 건의하도록 하기 위하여 금융위원회에 옴부즈만을 둔다"	0
384	② 옴부즈만의 직무는 다음 각 호와 같다	0
385	1	0
386	금융위원회 및 금융감독원의 불합리한 금융행정지도나 감독행정작용 등으로 인한 금융회사등의 고충민원의 처리	0
387	2	0
388	직무수행 과정에서 발견된 불합리한 금융행정지도나 감독행정작용 등에 대한 개선 권고나 관련 금융규제의 개선 건의 또는 의견표명	0
389	3	0
390	"제2호에 따른 개선 권고·건의 또는 의견표명에 대하여 금융위원회 및 금융감독원, 그 밖의 금융유관기관이 하는 조치사항에 대한 감시 및 평가"	0
391	"③ 금융회사등, 그 밖의 이해관계인은 불합리한 금융행정지도나 감독행정작용 등이 있으면 금융위원회, 금융감독원, 그 밖에 금융위원회가 정하는 금융유관기관(이하 이 조에서 ""신고 접수기관""이라 한다)에 그 사실을 신고할 수 있다"	0
392	이 경우 신고 접수기관은 신고 사실 및 그 밖의 관련 정보 등을 직접 또는 금융위원회나 금융감독원을 통하여 옴부즈만에 전달할 수 있다	0
393	"④ 제3항에 따라 신고 사실 및 그 밖의 관련 정보 등을 가지는 신고 접수기관과 옴부즈만은 제3항에 따라 신고한 금융회사등, 그 밖의 이해관계인(이하 이 조에서 ""신고인""이라 한다)의 인적사항, 신고 사실 및 그 밖의 관련 정보 등을 신고인의 동의 없이 공표하거나 다른 사람에게 누설하여서는 아니된다"	0
394	⑤ 금융위원회 및 금융감독원의 소속 공무원 또는 임직원은 신고인에게 제3항에 따른 신고를 하지 못하도록 방해하거나 이미 한 신고를 철회하도록 강요하여서는 아니된다	0
395	⑥ 금융위원회와 금융감독원은 신고인에게 제3항에 따른 신고와 관련하여 직접적으로나 간접적으로 불이익한 조치를 하여서는 아니된다	0
396	"⑦ 금융위원회 금융소비자국장은 매년 옴부즈만의 활동 결과를 그 다음 연도 3월 31일까지 금융위원회에 보고하고, 지체 없이 금융규제민원포털을 통하여 공개하여야 한다"	0
397	"다만, 개인정보 보호 등을 위하여 필요한 경우로서 금융위원회가 정하여 고시하는 경우에는 그 내용의 전부 또는 일부를 공개하지 아니할 수 있다"	0
398	<개정 2019	0
399	1	0
400	30	0
